time,contact_index,geom1,geom2,pos_x,pos_y,pos_z,force_cx,force_cy,force_cz,torque_cx,torque_cy,torque_cz,normal_x,normal_y,normal_z,tangent1_x,tangent1_y,tangent1_z,tangent2_x,tangent2_y,tangent2_z
0.002,41,ground,-1,0.009999999999999997,0.06000000000000001,-0.004999999999999994,1.091240063593079,-2.1649472366146765e-14,-2.0446371093998868e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
0.002,42,ground,-1,0.010000000000000004,0.08000000000000002,-0.004999999999999994,1.091240063593079,-2.3617849236234284e-14,-1.233738654774631e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
0.002,43,ground,-1,0.009999999999999997,0.1,-0.004999999999999994,1.0912400635931128,-2.55862261063218e-14,-4.2284020014937644e-15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
0.002,44,ground,-1,0.030000000000000016,-0.1,-0.004999999999999994,1.0912400635930453,-1.7690907082614202e-14,-1.3026265571948752e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
0.002,45,ground,-1,0.03000000000000001,-0.08000000000000002,-0.004999999999999994,1.0912400635930453,-1.671141644439643e-14,-1.1109916801709008e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
0.002,46,ground,-1,0.03000000000000001,-0.05999999999999999,-0.004999999999999994,1.0912400635930115,-1.5731925806178652e-14,-9.193568031469265e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
0.002,47,ground,-1,0.03,-0.03999999999999999,-0.004999999999999994,1.0912400635930792,-1.4752435167960872e-14,-7.277219261229527e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
0.002,48,ground,-1,0.030000000000000006,-0.019999999999999987,-0.004999999999999994,1.091240063593079,-1.3772944529743097e-14,-5.360870490989784e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
0.002,49,ground,-1,0.030000000000000013,2.2204460492503135e-18,-0.004999999999999994,1.091240063593079,-1.279345389152532e-14,-3.444521720750043e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
0.002,50,ground,-1,0.030000000000000006,0.019999999999999993,-0.004999999999999994,1.091240063593079,-1.1813963253307546e-14,-1.5281729505103028e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
0.002,51,ground,-1,0.030000000000000002,0.03999999999999998,-0.004999999999999994,1.0912400635931465,-1.0834472615089767e-14,3.88175819729437e-15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
0.002,52,ground,-1,0.030000000000000013,0.060000000000000026,-0.004999999999999994,1.0912400635931128,-9.854981976871992e-15,2.304524589969182e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
0.002,53,ground,-1,0.03000000000000001,0.08000000000000002,-0.004999999999999994,1.0912400635931465,-8.875491338654216e-15,4.220873360208923e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
0.002,54,ground,-1,0.030000000000000013,0.1,-0.004999999999999994,1.0912400635931465,-7.89600070043644e-15,6.137222130448666e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
0.002,55,ground,-1,0.05,-0.1,-0.004999999999999994,1.0912400635931128,-2.9479356759781795e-14,-1.7520706397495566e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
0.002,56,ground,-1,0.05,-0.08000000000000002,-0.004999999999999994,1.0912400635931128,-2.555199861325872e-14,-1.4498907311641343e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
0.002,57,ground,-1,0.05,-0.06,-0.004999999999999994,1.0912400635931128,-2.1624640466735642e-14,-1.1477108225787113e-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
0.002,58,ground,-1,0.049999999999999996,-0.039999999999999994,-0.004999999999999994,1.0912400635931465,-1.769728232021258e-14,-8.455309139932887e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
0.002,59,ground,-1,0.05,-0.019999999999999987,-0.004999999999999994,1.0912400635931465,-1.3769924173689509e-14,-5.4335100540786596e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
0.002,60,ground,-1,0.05,2.7755575615628915e-18,-0.004999999999999994,1.0912400635931465,-9.842566027166438e-15,-2.411710968224434e-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
